,degree,betweenness,transitivity,shortest_paths,limiar,diameter_graph,number_of_edges_graph,avg_degree,avg_betweenness_eccentricity,transitivity,avg_path_length
0,6,6.837124748889455,0.4666666666666667,1.880952380952381,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
1,1,0.0,-1.0,2.1904761904761907,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
2,6,0.18333333333333335,0.8666666666666666,1.9523809523809523,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
3,27,79.91176638987736,0.4188034188034188,1.3571428571428572,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
4,18,15.645805037108843,0.5686274509803921,1.5714285714285714,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
5,4,2.7123148967189215,0.16666666666666666,2.261904761904762,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
6,7,4.830450829986433,0.5714285714285714,2.0714285714285716,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
7,5,1.9529461279461282,0.5,2.3333333333333335,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
8,22,50.079961583297255,0.4632034632034632,1.4761904761904763,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
9,16,9.660753908973723,0.6416666666666667,1.619047619047619,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
10,15,8.4693126028515,0.6,1.6904761904761905,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
11,11,2.081618844118844,0.7818181818181819,1.7380952380952381,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
12,11,11.382556186503553,0.5818181818181818,1.8095238095238095,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
13,19,52.048166591606986,0.5029239766081871,1.5476190476190477,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
14,7,2.0691628264208908,0.5714285714285714,1.9761904761904763,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
15,22,53.90106900896375,0.49783549783549785,1.4761904761904763,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
16,4,0.07692307692307693,0.8333333333333334,2.0476190476190474,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
17,3,0.0,1.0,2.261904761904762,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
18,21,37.30923432476601,0.4333333333333333,1.5,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
19,8,3.0380984211866564,0.7142857142857143,1.9047619047619047,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
20,12,5.014017673835534,0.6363636363636364,1.7857142857142858,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
21,10,9.01132319263124,0.4444444444444444,1.8333333333333333,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
22,17,26.13017964004805,0.6029411764705882,1.5952380952380953,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
23,3,0.0,1.0,2.0952380952380953,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
24,9,3.3742914940495576,0.6388888888888888,1.8571428571428572,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
25,13,6.5158360527418235,0.5897435897435898,1.7380952380952381,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
26,23,37.14081887759107,0.4940711462450593,1.4523809523809523,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
27,11,3.456861559493139,0.7272727272727273,1.7380952380952381,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
28,10,1.56140873015873,0.8,1.8095238095238095,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
29,9,5.654039035869529,0.6111111111111112,1.9523809523809523,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
30,4,0.14285714285714285,0.8333333333333334,2.0476190476190474,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
31,18,16.38611510040278,0.5686274509803921,1.5952380952380953,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
32,9,0.7694878650761003,0.8333333333333334,1.8333333333333333,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
33,9,0.588127558715794,0.9166666666666666,1.8571428571428572,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
34,8,0.7595238095238095,0.8571428571428571,1.9047619047619047,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
35,6,2.3614551083591326,0.6,2.357142857142857,0,3,259,12.046511627906977,17.046511627906973,0.5102748205001237,1.8117386489479512
